model,light_strength,ambient_strength,psnr,psnr_std
Pottery_B0CJJ59SLH_BlueHairFairy,2.5,0.1,20.92465803924994,1.3955261735778346
Pottery_B0CJJ59SLH_BlueHairFairy,3.0,0.02,19.273639094028574,2.0738582023959875
Pottery_B0CJJ59SLH_BlueHairFairy,4.0,0.02,17.23378469900767,1.5140854681458429
TeaPot_B00ESU7PFG_WhiteRoseFlowers,4.0,0.03,17.467766525019435,0.13585005357402474
TeaPot_B00ESU7PFG_WhiteRoseFlowers,3.0,0.1,19.05289673704064,0.21214004891653326
TeaPot_B00ESU7PFG_WhiteRoseFlowers,2.0,0.2,22.466255744319426,0.7068717182064935
TeaPot_B00ESU7PFG_WhiteRoseFlowers,3.5,0.15,17.907438734266574,0.11066058999336037
TeaPot_B00ESU7PFG_WhiteRoseFlowers,3.5,0.03,18.075689234304598,0.20862684303440784
TeaPot_B00ESU7PFG_WhiteRoseFlowers,5.0,0.2,16.766051587361453,0.16318106747382838
TeaPot_B00ESU7PFG_WhiteRoseFlowers,1.0,0.05,12.552034445153641,0.21643293028518895
TeaPot_B00ESU7PFG_WhiteRoseFlowers,2.5,0.2,20.124306889652274,0.255315141392362
TeaPot_B00ESU7PFG_WhiteRoseFlowers,4.5,0.04,17.085679845997596,0.11424499254578015
TeaPot_B00ESU7PFG_WhiteRoseFlowers,3.5,0.01,18.092132749351812,0.2590157116870222
TeaPot_B00ESU7PFG_WhiteRoseFlowers,3.5,0.02,18.083849533182818,0.22960399774963772
TeaPot_B00ESU7PFG_WhiteRoseFlowers,3.0,0.01,19.305550338553605,0.6715505697141724
TeaPot_B00ESU7PFG_WhiteRoseFlowers,2.5,0.05,20.826922689994845,0.9790774198988552
TeaPot_B00ESU7PFG_WhiteRoseFlowers,4.5,0.03,17.08086094770818,0.12403576912803382
TeaPot_B00ESU7PFG_WhiteRoseFlowers,4.0,0.2,17.341234870534347,0.06471180665433254
TeaPot_B00ESU7PFG_WhiteRoseFlowers,3.0,0.04,19.269123313754285,0.4843021616310851
TeaPot_B00ESU7PFG_WhiteRoseFlowers,1.0,0.02,11.873289446078507,0.22767430330206992
TeaPot_B00ESU7PFG_WhiteRoseFlowers,5.0,0.03,16.81007817602904,0.15464756878997568
TeaPot_B00ESU7PFG_WhiteRoseFlowers,1.5,0.1,18.866706891662997,0.5606077896520165
TeaPot_B00ESU7PFG_WhiteRoseFlowers,5.0,0.15,16.798742131642115,0.15235339865692007
